Name,Research unit(s),URL,Research,Words,Synonym_,merge_synonyms
Jesse Gomez,Princeton Neuroscience Institute,https://collaborate.princeton.edu/en/persons/jesse-gomez,Princeton Neuroscience Institute,"Princeton, Neuroscience, Institute","Princeton, Princeton_University, , ","Princeton, Neuroscience, Institute, Princeton, Princeton_University, , "
John Jeremy Goodman,Astrophysical Sciences,https://collaborate.princeton.edu/en/persons/john-jeremy-goodman,Astrophysical Sciences,"Astrophysical, Sciences","astrophysical, ","Astrophysical, Sciences, astrophysical, "
Sarang Gopalakrishnan,Electrical and Computer Engineering,https://collaborate.princeton.edu/en/persons/sarang-gopalakrishnan,Electrical and Computer Engineering,"Electrical, and, Computer, Engineering","electric, electrical, , , ","Electrical, and, Computer, Engineering, electric, electrical, , , "
Michael D. Gordin,History,https://collaborate.princeton.edu/en/persons/michael-d-gordin,History,History,"story, chronicle, account, history","History, story, chronicle, account, history"
Elizabeth Gould,Princeton Neuroscience Institute,https://collaborate.princeton.edu/en/persons/elizabeth-gould,Princeton Neuroscience Institute,"Princeton, Neuroscience, Institute","Princeton, Princeton_University, , ","Princeton, Neuroscience, Institute, Princeton, Princeton_University, , "
Tanushree Goyal,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/tanushree-goyal,Princeton School of Public and International Affairs,"Princeton, School, of, Public, and, International, Affairs","Princeton, Princeton_University, , , , , , ","Princeton, School, of, Public, and, International, Affairs, Princeton, Princeton_University, , , , , , "
Anthony Thomas Grafton,History,https://collaborate.princeton.edu/en/persons/anthony-thomas-grafton,History,History,"story, chronicle, account, history","History, story, chronicle, account, history"
Andrea Linn Graham,"Ecology & Evolutionary Biology, High Meadows Environmental Institute",https://collaborate.princeton.edu/en/persons/andrea-linn-graham,"Ecology Evolutionary Biology, High Meadows Environmental Institute","Ecology, Evolutionary, Biology, High, Meadows, Environmental, Institute","environmental_science, bionomics, ecology, , , , , , ","Ecology, Evolutionary, Biology, High, Meadows, Environmental, Institute, environmental_science, bionomics, ecology, , , , , , "
David Barry Graves,Chemical & Biological Engineering,https://collaborate.princeton.edu/en/persons/david-barry-graves,Chemical Biological Engineering,"Chemical, Biological, Engineering","chemic, chemical_substance, chemical, , ","Chemical, Biological, Engineering, chemic, chemical_substance, chemical, , "
Michael Steven Graziano,"Psychology, Princeton Neuroscience Institute",https://collaborate.princeton.edu/en/persons/michael-steven-graziano,"Psychology, Princeton Neuroscience Institute","Psychology, Princeton, Neuroscience, Institute","psychological_science, psychology, , , ","Psychology, Princeton, Neuroscience, Institute, psychological_science, psychology, , , "
Barbara Graziosi,Classics,https://collaborate.princeton.edu/en/persons/barbara-graziosi,Classics,Classics,"classics, classic","Classics, classics, classic"
Jenny E. Greene,Astrophysical Sciences,https://collaborate.princeton.edu/en/persons/jenny-e-greene,Astrophysical Sciences,"Astrophysical, Sciences","astrophysical, ","Astrophysical, Sciences, astrophysical, "
Molly Greene,History,https://collaborate.princeton.edu/en/persons/molly-greene,History,History,"story, chronicle, account, history","History, story, chronicle, account, history"
Naima Green-Riley,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/naima-green-riley,Princeton School of Public and International Affairs,"Princeton, School, of, Public, and, International, Affairs","Princeton, Princeton_University, , , , , , ","Princeton, School, of, Public, and, International, Affairs, Princeton, Princeton_University, , , , , , "
Thomas Gregor,"Physics, Lewis-Sigler Institute for Integrative Genomics, Molecular Biology",https://collaborate.princeton.edu/en/persons/thomas-gregor,"Physics, Lewis-Sigler Institute Integrative Genomics, Molecular Biology","Physics, Lewis-Sigler, Institute, Integrative, Genomics, Molecular, Biology","aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic, , , , , , ","Physics, Lewis-Sigler, Institute, Integrative, Genomics, Molecular, Biology, aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic, , , , , , "
Eric Sean Gregory,Religion,https://collaborate.princeton.edu/en/persons/eric-sean-gregory,Religion,Religion,"religious_belief, religion, organized_religion, faith","Religion, religious_belief, religion, organized_religion, faith"
Bryan T. Grenfell,"Princeton School of Public and International Affairs, Ecology & Evolutionary Biology",https://collaborate.princeton.edu/en/persons/bryan-t-grenfell,"Princeton School of Public and International Affairs, Ecology Evolutionary Biology","Princeton, School, of, Public, and, International, Affairs, Ecology, Evolutionary, Biology","Princeton, Princeton_University, , , , , , , , , ","Princeton, School, of, Public, and, International, Affairs, Ecology, Evolutionary, Biology, Princeton, Princeton_University, , , , , , , , , "
Jonathan Marc Gribetz,Near Eastern Studies,https://collaborate.princeton.edu/en/persons/jonathan-marc-gribetz,Near Eastern Studies,"Near, Eastern, Studies","approach, good, nigh, near, draw_close, cheeseparing, approximate, come_near, close, dear, well-nigh, nearly, skinny, about, penny-pinching, go_up, draw_near, most, virtually, come_on, almost, , ","Near, Eastern, Studies, approach, good, nigh, near, draw_close, cheeseparing, approximate, come_near, close, dear, well-nigh, nearly, skinny, about, penny-pinching, go_up, draw_near, most, virtually, come_on, almost, , "
Tom Griffiths,"Psychology, Center for Statistics & Machine Learning, Computer Science",https://collaborate.princeton.edu/en/persons/tom-griffiths,"Psychology, Center Statistics Machine Learning, Computer Science","Psychology, Center, Statistics, Machine, Learning, Computer, Science","psychological_science, psychology, , , , , , ","Psychology, Center, Statistics, Machine, Learning, Computer, Science, psychological_science, psychology, , , , , , "
John Rockbridge Grigsby,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/john-rockbridge-grigsby,Princeton School of Public and International Affairs,"Princeton, School, of, Public, and, International, Affairs","Princeton, Princeton_University, , , , , , ","Princeton, School, of, Public, and, International, Affairs, Princeton, Princeton_University, , , , , , "
Gene Michael Grossman,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/gene-michael-grossman,Princeton School of Public and International Affairs,"Princeton, School, of, Public, and, International, Affairs","Princeton, Princeton_University, , , , , , ","Princeton, School, of, Public, and, International, Affairs, Princeton, Princeton_University, , , , , , "
John Taylor Groves,"Chemistry, High Meadows Environmental Institute, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/john-taylor-groves,"Chemistry, High Meadows Environmental Institute, Princeton Materials Institute","Chemistry, High, Meadows, Environmental, Institute, Princeton, Materials, Institute","chemistry, chemical_science, alchemy, interpersonal_chemistry, , , , , , , ","Chemistry, High, Meadows, Environmental, Institute, Princeton, Materials, Institute, chemistry, chemical_science, alchemy, interpersonal_chemistry, , , , , , , "
Katja Guenther,History,https://collaborate.princeton.edu/en/persons/katja-guenther,History,History,"story, chronicle, account, history","History, story, chronicle, account, history"
Javier Enrique Guerrero,Spanish & Portuguese,https://collaborate.princeton.edu/en/persons/javier-enrique-guerrero,Spanish Portuguese,"Spanish, Portuguese","Spanish, Spanish_people, ","Spanish, Portuguese, Spanish, Spanish_people, "
Michael Guerzhoy,Center for Statistics & Machine Learning,https://collaborate.princeton.edu/en/persons/michael-guerzhoy,Center Statistics Machine Learning,"Center, Statistics, Machine, Learning","centre_of_attention, essence, focus_on, center, mall, center_field, snapper, concentrate, middle, centre, shopping_center, nerve_centre, halfway, shopping_mall, nerve_center, pith, gist, focus, shopping_centre, meat, midway, revolve_around, rivet, center_of_attention, nub, sum, substance, heart_and_soul, marrow, center_on, kernel, eye, centerfield, midpoint, concentrate_on, heart, nitty-gritty, plaza, core, pore, revolve_about, inwardness, , , ","Center, Statistics, Machine, Learning, centre_of_attention, essence, focus_on, center, mall, center_field, snapper, concentrate, middle, centre, shopping_center, nerve_centre, halfway, shopping_mall, nerve_center, pith, gist, focus, shopping_centre, meat, midway, revolve_around, rivet, center_of_attention, nub, sum, substance, heart_and_soul, marrow, center_on, kernel, eye, centerfield, midpoint, concentrate_on, heart, nitty-gritty, plaza, core, pore, revolve_about, inwardness, , , "
Andy Guess,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/andy-guess,Princeton School of Public and International Affairs,"Princeton, School, of, Public, and, International, Affairs","Princeton, Princeton_University, , , , , , ","Princeton, School, of, Public, and, International, Affairs, Princeton, Princeton_University, , , , , , "
Joshua B. Guild,History,https://collaborate.princeton.edu/en/persons/joshua-b-guild,History,History,"story, chronicle, account, history","History, story, chronicle, account, history"
Faruk R. Gul,Economics,https://collaborate.princeton.edu/en/persons/faruk-r-gul,Economics,Economics,"economic_science, economics, political_economy","Economics, economic_science, economics, political_economy"
Saad Ahmad Gulzar,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/saad-ahmad-gulzar,Princeton School of Public and International Affairs,"Princeton, School, of, Public, and, International, Affairs","Princeton, Princeton_University, , , , , , ","Princeton, School, of, Public, and, International, Affairs, Princeton, Princeton_University, , , , , , "
Aarti Gupta,Computer Science,https://collaborate.princeton.edu/en/persons/aarti-gupta,Computer Science,"Computer, Science","estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, ","Computer, Science, estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, "
Mikko Petteri Haataja,"Mechanical & Aerospace Engineering, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/mikko-petteri-haataja,"Mechanical Aerospace Engineering, Princeton Materials Institute","Mechanical, Aerospace, Engineering, Princeton, Materials, Institute","mechanically_skillful, mechanical, , , , , ","Mechanical, Aerospace, Engineering, Princeton, Materials, Institute, mechanically_skillful, mechanical, , , , , "
Jurgen Hackl,Civil & Environmental Engineering,https://collaborate.princeton.edu/en/persons/jurgen-hackl,Civil Environmental Engineering,"Civil, Environmental, Engineering","civil, polite, civic, , ","Civil, Environmental, Engineering, civil, polite, civic, , "
Frederick D. Haldane,"Physics, Princeton Center for Theoretical Science, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/frederick-d-haldane,"Physics, Princeton Center Theoretical Science, Princeton Materials Institute","Physics, Princeton, Center, Theoretical, Science, Princeton, Materials, Institute","aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic, , , , , , , ","Physics, Princeton, Center, Theoretical, Science, Princeton, Materials, Institute, aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic, , , , , , , "
Hans P. Halvorson,Philosophy,https://collaborate.princeton.edu/en/persons/hans-p-halvorson,Philosophy,Philosophy,"philosophy, philosophical_system, school_of_thought, ism, doctrine","Philosophy, philosophy, philosophical_system, school_of_thought, ism, doctrine"
Judith Hamera,Lewis Center for the Arts,https://collaborate.princeton.edu/en/persons/judith-hamera,Lewis Center Arts,"Lewis, Center, Arts","Lewis, John_Llewelly_Lewis, Clive_Staples_Lewis, Sinclair_Lewis, Harry_Sinclair_Lewis, Frederick_Carleton_Lewis, C._S._Lewis, John_L._Lewis, Jerry_Lee_Lewis, Carl_Lewis, Meriwether_Lewis, , ","Lewis, Center, Arts, Lewis, John_Llewelly_Lewis, Clive_Staples_Lewis, Sinclair_Lewis, Harry_Sinclair_Lewis, Frederick_Carleton_Lewis, C._S._Lewis, John_L._Lewis, Jerry_Lee_Lewis, Carl_Lewis, Meriwether_Lewis, , "
Tod G. Hamilton,Sociology,https://collaborate.princeton.edu/en/persons/tod-g-hamilton,Sociology,Sociology,sociology,"Sociology, sociology"
Sharon Hammes-Schiffer,Chemistry,https://collaborate.princeton.edu/en/persons/sharon-hammes-schiffer,Chemistry,Chemistry,"chemistry, chemical_science, alchemy, interpersonal_chemistry","Chemistry, chemistry, chemical_science, alchemy, interpersonal_chemistry"
Boris Hanin,Operations Research & Financial Engineering,https://collaborate.princeton.edu/en/persons/boris-hanin,Operations Research Financial Engineering,"Operations, Research, Financial, Engineering","surgical_process, mental_process, operation, performance, military_operation, trading_operations, surgical_procedure, process, mathematical_process, cognitive_process, surgery, functioning, cognitive_operation, procedure, mathematical_operation, surgical_operation, operations, , , ","Operations, Research, Financial, Engineering, surgical_process, mental_process, operation, performance, military_operation, trading_operations, surgical_procedure, process, mathematical_process, cognitive_process, surgery, functioning, cognitive_operation, procedure, mathematical_operation, surgical_operation, operations, , , "
M. Sukru Hanioglu,Near Eastern Studies,https://collaborate.princeton.edu/en/persons/m-sukru-hanioglu,Near Eastern Studies,"Near, Eastern, Studies","approach, good, nigh, near, draw_close, cheeseparing, approximate, come_near, close, dear, well-nigh, nearly, skinny, about, penny-pinching, go_up, draw_near, most, virtually, come_on, almost, , ","Near, Eastern, Studies, approach, good, nigh, near, draw_close, cheeseparing, approximate, come_near, close, dear, well-nigh, nearly, skinny, about, penny-pinching, go_up, draw_near, most, virtually, come_on, almost, , "
Jonathan Hanselman,Mathematics,https://collaborate.princeton.edu/en/persons/jonathan-hanselman,Mathematics,Mathematics,"math, maths, mathematics","Mathematics, math, maths, mathematics"
Lara Harb,Near Eastern Studies,https://collaborate.princeton.edu/en/persons/lara-harb,Near Eastern Studies,"Near, Eastern, Studies","approach, good, nigh, near, draw_close, cheeseparing, approximate, come_near, close, dear, well-nigh, nearly, skinny, about, penny-pinching, go_up, draw_near, most, virtually, come_on, almost, , ","Near, Eastern, Studies, approach, good, nigh, near, draw_close, cheeseparing, approximate, come_near, close, dear, well-nigh, nearly, skinny, about, penny-pinching, go_up, draw_near, most, virtually, come_on, almost, , "
Thomas William Hare,Comparative Literature,https://collaborate.princeton.edu/en/persons/thomas-william-hare,Comparative Literature,"Comparative, Literature","comparative_degree, relative, comparative, ","Comparative, Literature, comparative_degree, relative, comparative, "
Elizabeth Harman,Philosophy,https://collaborate.princeton.edu/en/persons/elizabeth-harman,Philosophy,Philosophy,"philosophy, philosophical_system, school_of_thought, ism, doctrine","Philosophy, philosophy, philosophical_system, school_of_thought, ism, doctrine"
M. Zahid Hasan,"Physics, Keller Center for Innovation in Engineering Education, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/m-zahid-hasan,"Physics, Keller Center Innovation in Engineering Education, Princeton Materials Institute","Physics, Keller, Center, Innovation, in, Engineering, Education, Princeton, Materials, Institute","aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic, , , , , , , , , ","Physics, Keller, Center, Innovation, in, Engineering, Education, Princeton, Materials, Institute, aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic, , , , , , , , , "
Uri Hasson,"Psychology, Princeton Neuroscience Institute",https://collaborate.princeton.edu/en/persons/uri-hasson,"Psychology, Princeton Neuroscience Institute","Psychology, Princeton, Neuroscience, Institute","psychological_science, psychology, , , ","Psychology, Princeton, Neuroscience, Institute, psychological_science, psychology, , , "
Kelsey Bridget Hatzell,Mechanical & Aerospace Engineering,https://collaborate.princeton.edu/en/persons/kelsey-bridget-hatzell,Mechanical Aerospace Engineering,"Mechanical, Aerospace, Engineering","mechanically_skillful, mechanical, , ","Mechanical, Aerospace, Engineering, mechanically_skillful, mechanical, , "
Johannes Haubold,Classics,https://collaborate.princeton.edu/en/persons/johannes-haubold,Classics,Classics,"classics, classic","Classics, classics, classic"
Bernard A. Haykel,Near Eastern Studies,https://collaborate.princeton.edu/en/persons/bernard-a-haykel,Near Eastern Studies,"Near, Eastern, Studies","approach, good, nigh, near, draw_close, cheeseparing, approximate, come_near, close, dear, well-nigh, nearly, skinny, about, penny-pinching, go_up, draw_near, most, virtually, come_on, almost, , ","Near, Eastern, Studies, approach, good, nigh, near, draw_close, cheeseparing, approximate, come_near, close, dear, well-nigh, nearly, skinny, about, penny-pinching, go_up, draw_near, most, virtually, come_on, almost, , "
Elad Hazan,"Computer Science, Center for Statistics & Machine Learning",https://collaborate.princeton.edu/en/persons/elad-hazan,"Computer Science, Center Statistics Machine Learning","Computer, Science, Center, Statistics, Machine, Learning","estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, , , , , ","Computer, Science, Center, Statistics, Machine, Learning, estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, , , , , "
Lili He,Mathematics,https://collaborate.princeton.edu/en/persons/lili-he,Mathematics,Mathematics,"math, maths, mathematics","Mathematics, math, maths, mathematics"
Michael H. Hecht,"Chemistry, Molecular Biology",https://collaborate.princeton.edu/en/persons/michael-h-hecht,"Chemistry, Molecular Biology","Chemistry, Molecular, Biology","chemistry, chemical_science, alchemy, interpersonal_chemistry, , ","Chemistry, Molecular, Biology, chemistry, chemical_science, alchemy, interpersonal_chemistry, , "
Lars O. Hedin,"Ecology & Evolutionary Biology, Civil & Environmental Engineering, High Meadows Environmental Institute",https://collaborate.princeton.edu/en/persons/lars-o-hedin,"Ecology Evolutionary Biology, Civil Environmental Engineering, High Meadows Environmental Institute","Ecology, Evolutionary, Biology, Civil, Environmental, Engineering, High, Meadows, Environmental, Institute","environmental_science, bionomics, ecology, , , , , , , , , ","Ecology, Evolutionary, Biology, Civil, Environmental, Engineering, High, Meadows, Environmental, Institute, environmental_science, bionomics, ecology, , , , , , , , , "
Felix Heide,Computer Science,https://collaborate.princeton.edu/en/persons/felix-heide,Computer Science,"Computer, Science","estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, ","Computer, Science, estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, "
Shahram Hejazi,Keller Center for Innovation in Engineering Education,https://collaborate.princeton.edu/en/persons/shahram-hejazi,Keller Center Innovation in Engineering Education,"Keller, Center, Innovation, in, Engineering, Education","Helen_Adams_Keller, Keller, Helen_Keller, , , , , ","Keller, Center, Innovation, in, Engineering, Education, Helen_Adams_Keller, Keller, Helen_Keller, , , , , "
Isaac M. Held,Atmospheric & Oceanic Sciences,https://collaborate.princeton.edu/en/persons/isaac-m-held,Atmospheric Oceanic Sciences,"Atmospheric, Oceanic, Sciences","atmospheric, atmospherical, , ","Atmospheric, Oceanic, Sciences, atmospheric, atmospherical, , "
Wendy Heller,Music,https://collaborate.princeton.edu/en/persons/wendy-heller,Music,Music,"medicine, euphony, music","Music, medicine, euphony, music"
Daniel Heller-Roazen,Comparative Literature,https://collaborate.princeton.edu/en/persons/daniel-heller-roazen,Comparative Literature,"Comparative, Literature","comparative_degree, relative, comparative, ","Comparative, Literature, comparative_degree, relative, comparative, "
Grace Elizabeth Helton,Philosophy,https://collaborate.princeton.edu/en/persons/grace-elizabeth-helton,Philosophy,Philosophy,"philosophy, philosophical_system, school_of_thought, ism, doctrine","Philosophy, philosophy, philosophical_system, school_of_thought, ism, doctrine"
Aleksandar Hemon,Lewis Center for the Arts,https://collaborate.princeton.edu/en/persons/aleksandar-hemon,Lewis Center Arts,"Lewis, Center, Arts","Lewis, John_Llewelly_Lewis, Clive_Staples_Lewis, Sinclair_Lewis, Harry_Sinclair_Lewis, Frederick_Carleton_Lewis, C._S._Lewis, John_L._Lewis, Jerry_Lee_Lewis, Carl_Lewis, Meriwether_Lewis, , ","Lewis, Center, Arts, Lewis, John_Llewelly_Lewis, Clive_Staples_Lewis, Sinclair_Lewis, Harry_Sinclair_Lewis, Frederick_Carleton_Lewis, C._S._Lewis, John_L._Lewis, Jerry_Lee_Lewis, Carl_Lewis, Meriwether_Lewis, , "
Peter Henderson,Computer Science,https://collaborate.princeton.edu/en/persons/peter-henderson,Computer Science,"Computer, Science","estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, ","Computer, Science, estimator, computer, computing_device, reckoner, calculator, figurer, data_processor, information_processing_system, computing_machine, electronic_computer, "
Arun Hendi,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/arun-hendi,Princeton School of Public and International Affairs,"Princeton, School, of, Public, and, International, Affairs","Princeton, Princeton_University, , , , , , ","Princeton, School, of, Public, and, International, Affairs, Princeton, Princeton_University, , , , , , "
Brian Eugenio Herrera,Lewis Center for the Arts,https://collaborate.princeton.edu/en/persons/brian-eugenio-herrera,Lewis Center Arts,"Lewis, Center, Arts","Lewis, John_Llewelly_Lewis, Clive_Staples_Lewis, Sinclair_Lewis, Harry_Sinclair_Lewis, Frederick_Carleton_Lewis, C._S._Lewis, John_L._Lewis, Jerry_Lee_Lewis, Carl_Lewis, Meriwether_Lewis, , ","Lewis, Center, Arts, Lewis, John_Llewelly_Lewis, Clive_Staples_Lewis, Sinclair_Lewis, Harry_Sinclair_Lewis, Frederick_Carleton_Lewis, C._S._Lewis, John_L._Lewis, Jerry_Lee_Lewis, Carl_Lewis, Meriwether_Lewis, , "
John Andrew Higgins,"Geosciences, High Meadows Environmental Institute",https://collaborate.princeton.edu/en/persons/john-andrew-higgins,"Geosciences, High Meadows Environmental Institute","Geosciences, High, Meadows, Environmental, Institute",", , , , ","Geosciences, High, Meadows, Environmental, Institute, , , , , "
Kate Ho,Economics,https://collaborate.princeton.edu/en/persons/kate-ho,Economics,Economics,"economic_science, economics, political_economy","Economics, economic_science, economics, political_economy"
Desmond P. Hogan,Philosophy,https://collaborate.princeton.edu/en/persons/desmond-p-hogan,Philosophy,Philosophy,"philosophy, philosophical_system, school_of_thought, ism, doctrine","Philosophy, philosophy, philosophical_system, school_of_thought, ism, doctrine"
Brooke A. Holmes,Classics,https://collaborate.princeton.edu/en/persons/brooke-a-holmes,Classics,Classics,"classics, classic","Classics, classics, classic"
Samuel Holzman,Art and Archaeology,https://collaborate.princeton.edu/en/persons/samuel-holzman,Art and Archaeology,"Art, and, Archaeology","nontextual_matter, artistry, artistic_production, artistic_creation, graphics, fine_art, art, prowess, artwork, , ","Art, and, Archaeology, nontextual_matter, artistry, artistic_production, artistic_creation, graphics, fine_art, art, prowess, artwork, , "
Bo E. Honore,"Economics, Center for Statistics & Machine Learning",https://collaborate.princeton.edu/en/persons/bo-e-honore,"Economics, Center Statistics Machine Learning","Economics, Center, Statistics, Machine, Learning","economic_science, economics, political_economy, , , , ","Economics, Center, Statistics, Machine, Learning, economic_science, economics, political_economy, , , , "
Andrew Addison Houck,"Electrical and Computer Engineering, Keller Center for Innovation in Engineering Education, Princeton Center for Theoretical Science, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/andrew-addison-houck,"Electrical and Computer Engineering, Keller Center Innovation in Engineering Education, Princeton Center Theoretical Science, Princeton Materials Institute","Electrical, and, Computer, Engineering, Keller, Center, Innovation, in, Engineering, Education, Princeton, Center, Theoretical, Science, Princeton, Materials, Institute","electric, electrical, , , , , , , , , , , , , , , , ","Electrical, and, Computer, Engineering, Keller, Center, Innovation, in, Engineering, Education, Princeton, Center, Theoretical, Science, Princeton, Materials, Institute, electric, electrical, , , , , , , , , , , , , , , , "
Tatiana Katarzyna Howard,Mathematics,https://collaborate.princeton.edu/en/persons/tatiana-katarzyna-howard,Mathematics,Mathematics,"math, maths, mathematics","Mathematics, math, maths, mathematics"
Allan Hsiao,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/allan-hsiao,Princeton School of Public and International Affairs,"Princeton, School, of, Public, and, International, Affairs","Princeton, Princeton_University, , , , , , ","Princeton, School, of, Public, and, International, Affairs, Princeton, Princeton_University, , , , , , "
Daisy Yan Huang,Center for Statistics & Machine Learning,https://collaborate.princeton.edu/en/persons/daisy-yan-huang,Center Statistics Machine Learning,"Center, Statistics, Machine, Learning","centre_of_attention, essence, focus_on, center, mall, center_field, snapper, concentrate, middle, centre, shopping_center, nerve_centre, halfway, shopping_mall, nerve_center, pith, gist, focus, shopping_centre, meat, midway, revolve_around, rivet, center_of_attention, nub, sum, substance, heart_and_soul, marrow, center_on, kernel, eye, centerfield, midpoint, concentrate_on, heart, nitty-gritty, plaza, core, pore, revolve_about, inwardness, , , ","Center, Statistics, Machine, Learning, centre_of_attention, essence, focus_on, center, mall, center_field, snapper, concentrate, middle, centre, shopping_center, nerve_centre, halfway, shopping_mall, nerve_center, pith, gist, focus, shopping_centre, meat, midway, revolve_around, rivet, center_of_attention, nub, sum, substance, heart_and_soul, marrow, center_on, kernel, eye, centerfield, midpoint, concentrate_on, heart, nitty-gritty, plaza, core, pore, revolve_about, inwardness, , , "
Emma Hubert,Operations Research & Financial Engineering,https://collaborate.princeton.edu/en/persons/emma-hubert,Operations Research Financial Engineering,"Operations, Research, Financial, Engineering","surgical_process, mental_process, operation, performance, military_operation, trading_operations, surgical_procedure, process, mathematical_process, cognitive_process, surgery, functioning, cognitive_operation, procedure, mathematical_operation, surgical_operation, operations, , , ","Operations, Research, Financial, Engineering, surgical_process, mental_process, operation, performance, military_operation, trading_operations, surgical_procedure, process, mathematical_process, cognitive_process, surgery, functioning, cognitive_operation, procedure, mathematical_operation, surgical_operation, operations, , , "
Monica Huerta,English,https://collaborate.princeton.edu/en/persons/monica-huerta,English,English,"English, English_language, side, English_people","English, English, English_language, side, English_people"
Frederick McLaury Hughson,"Molecular Biology, Chemistry",https://collaborate.princeton.edu/en/persons/frederick-mclaury-hughson,"Molecular Biology, Chemistry","Molecular, Biology, Chemistry","molecular, , ","Molecular, Biology, Chemistry, molecular, , "
June E Huh,Mathematics,https://collaborate.princeton.edu/en/persons/june-e-huh,Mathematics,Mathematics,"math, maths, mathematics","Mathematics, math, maths, mathematics"
Marcus Nils Hultmark,"Mechanical & Aerospace Engineering, Civil & Environmental Engineering, High Meadows Environmental Institute, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/marcus-nils-hultmark,"Mechanical Aerospace Engineering, Civil Environmental Engineering, High Meadows Environmental Institute, Princeton Materials Institute","Mechanical, Aerospace, Engineering, Civil, Environmental, Engineering, High, Meadows, Environmental, Institute, Princeton, Materials, Institute","mechanically_skillful, mechanical, , , , , , , , , , , , ","Mechanical, Aerospace, Engineering, Civil, Environmental, Engineering, High, Meadows, Environmental, Institute, Princeton, Materials, Institute, mechanically_skillful, mechanical, , , , , , , , , , , , "
Tera W. Hunter,History,https://collaborate.princeton.edu/en/persons/tera-w-hunter,History,History,"story, chronicle, account, history","History, story, chronicle, account, history"
David A. Huse,"Physics, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/david-a-huse,"Physics, Princeton Materials Institute","Physics, Princeton, Materials, Institute","aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic, , , ","Physics, Princeton, Materials, Institute, aperient, physical_science, purgative, natural_philosophy, physics, cathartic, physic, , , "
Todd Kurt Hyster,Chemistry,https://collaborate.princeton.edu/en/persons/todd-kurt-hyster,Chemistry,Chemistry,"chemistry, chemical_science, alchemy, interpersonal_chemistry","Chemistry, chemistry, chemical_science, alchemy, interpersonal_chemistry"
Matias Iaryczower,Politics,https://collaborate.princeton.edu/en/persons/matias-iaryczower,Politics,Politics,"politics, government, political_sympathies, political_relation, political_science","Politics, politics, government, political_sympathies, political_relation, political_science"
Caio Ibsen Rodrigues de Almeida,Economics,https://collaborate.princeton.edu/en/persons/caio-ibsen-rodrigues-de-almeida,Economics,Economics,"economic_science, economics, political_economy","Economics, economic_science, economics, political_economy"
G. John Ikenberry,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/g-john-ikenberry,Princeton School of Public and International Affairs,"Princeton, School, of, Public, and, International, Affairs","Princeton, Princeton_University, , , , , , ","Princeton, School, of, Public, and, International, Affairs, Princeton, Princeton_University, , , , , , "
Alexandru D. Ionescu,Mathematics,https://collaborate.princeton.edu/en/persons/alexandru-d-ionescu,Mathematics,Mathematics,"math, maths, mathematics","Mathematics, math, maths, mathematics"
Razia Iqbal,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/razia-iqbal,Princeton School of Public and International Affairs,"Princeton, School, of, Public, and, International, Affairs","Princeton, Princeton_University, , , , , , ","Princeton, School, of, Public, and, International, Affairs, Princeton, Princeton_University, , , , , , "
Alison Ellen Isenberg,History,https://collaborate.princeton.edu/en/persons/alison-ellen-isenberg,History,History,"story, chronicle, account, history","History, story, chronicle, account, history"
